X1	gene	pvalue	pipeline
0	EFCAB13	0.23975006109347674	muse
0	FCRL5	0.5	muse
0	GJB6	0.5	muse
0	GNA13	0.5	muse
0	GRB7	0.5	muse
0	GUCY1A3	0.5	muse
0	HORMAD2	0.5	muse
0	HRNR	0.36183680491588155	muse
0	IRGC	0.5	muse
0	KLHDC10	0.5	muse
0	KRTAP4-11	0.5	muse
0	LOXL3	0.5	muse
0	MED16	0.5	muse
0	MORN1	0.5	muse
0	OSBPL7	0.5	muse
0	PCDH7	0.4012936743170763	muse
0	SDHAF3	0.5	muse
0	SPINT2	0.5	muse
0	TXLNB	0.5	muse
0	A4GNT	0.5	muse
0	ASAP2	0.5	muse
0	ATP1B3	0.5	muse
0	C12orf74	0.5	muse
0	CELA3A	0.5	muse
0	DCTN2	0.5	muse
0	DDX18	0.5	muse
0	DPPA2	0.5	muse
0	EFCAB12	0.5	muse
0	EFNA3	0.5	muse
0	EXT2	0.5	muse
0	FBXO24	0.5	muse
0	GUCY1B3	0.5	muse
0	IGF2BP1	0.5	muse
0	ITPRIPL1	0.5	muse
0	KIAA1191	0.5	muse
0	KIF6	0.5	muse
0	LHFPL3	0.5	muse
0	MICU3	0.5	muse
0	MSH5	0.5	muse
0	MUC16	0.37751309493475343	muse
0	MUC7	0.5	muse
0	NFKBID	0.5	muse
0	OR6C68	0.5	muse
0	OSCAR	0.5	muse
0	PAPD4	0.5	muse
0	PCK1	0.5	muse
0	PLA2G16	0.5	muse
0	PLA2G4A	0.5	muse
0	PSMC1	0.5	muse
0	SCRIB	0.5	muse
0	SOCS5	0.5	muse
0	TBC1D5	0.5	muse
0	TCF12	0.5	muse
0	TMEM14C	0.5	muse
0	WDR66	0.5	muse
0	ZNF445	0.5	muse
0	ZNF546	0.5	muse
0	ZNF790	0.5	muse
0	ACSM2B	0.5	muse
0	ADH1A	0.5	muse
0	AGAP3	0.5	muse
0	AGAP9	0.5	muse
0	AMPH	0.5	muse
0	ANO7	0.5	muse
0	ARHGEF37	0.5	muse
0	C2CD2	0.5	muse
0	C4orf45	0.5	muse
0	CALR3	0.5	muse
0	CCNO	0.5	muse
0	CD1E	0.5	muse
0	CDK5RAP1	0.5	muse
0	COX6B1	0.5	muse
0	CSMD3	0.4298418975993331	muse
0	CXCL14	0.5	muse
0	CXCR3	0.5	muse
0	DENND2A	0.5	muse
0	DGKB	0.5	muse
0	DIRAS1	0.5	muse
0	EIF3A	0.5	muse
0	FASN	0.5	muse
0	GLS2	0.5	muse
0	GPR62	0.5	muse
0	GRIA2	0.5	muse
0	GRIA4	0.5	muse
0	H2AFZ	0.5	muse
0	HOXC8	0.5	muse
0	IFT88	0.5	muse
0	IGSF11	0.5	muse
0	IQCG	0.5	muse
0	KIF4A	0.5	muse
0	MAGEB4	0.5	muse
0	MAT2A	0.5	muse
0	MDM1	0.5	muse
0	MMP16	0.5	muse
0	MROH5	0.23975006109347674	muse
0	MRPL47	0.5	muse
0	MTA1	0.5	muse
0	MTTP	0.5	muse
0	NTM	0.5	muse
0	PADI4	0.5	muse
0	PCDHB9	0.5	muse
0	PKN1	0.5	muse
0	PRAMEF18	0.5	muse
0	PREX1	0.36183680491588155	muse
0	PRTG	0.5	muse
0	PTCH2	0.5	muse
0	RASGRF1	0.23975006109347674	muse
0	RHOA	0.5	muse
0	SPEG	0.38641499634222376	muse
0	SRP54	0.5	muse
0	SSX2IP	0.5	muse
0	STK31	0.5	muse
0	TXNDC2	0.5	muse
0	USP21	0.5	muse
0	WSCD2	0.5	muse
0	WTAP	0.5	muse
0	ZNF653	0.5	muse
0	ZRANB1	0.5	muse
0	AIM1L	0.5	muse
0	C1RL	0.5	muse
0	CACNA2D4	0.5	muse
0	CHIC2	0.5	muse
0	CLCF1	0.5	muse
0	EI24	0.5	muse
0	ERCC6L	0.5	muse
0	ESYT2	0.5	muse
0	EVA1C	0.5	muse
0	FASLG	0.27014568730370997	muse
0	GPR35	0.5	muse
0	HMCN1	0.5	muse
0	IGHMBP2	0.5	muse
0	KIF4B	0.5	muse
0	KLHL14	0.5	muse
0	LOX	0.5	muse
0	MAN1A2	0.5	muse
0	NDNF	0.5	muse
0	NEB	0.5	muse
0	PCSK9	0.5	muse
0	PELI3	0.5	muse
0	PNLIP	0.5	muse
0	PNMA2	0.5	muse
0	RABGGTA	0.5	muse
0	SEP15	0.5	muse
0	SH3RF3	0.5	muse
0	SLC35B1	0.5	muse
0	SNX33	0.5	muse
0	WNT6	0.5	muse
0	ZG16B	0.5	muse
0	ZNF708	0.5	muse
0	ADGRV1	0.5	muse
0	ATG4C	0.5	muse
0	CD69	0.5	muse
0	CHST1	0.5	muse
0	CYB5D2	0.5	muse
0	DCAF12	0.5	muse
0	DEPDC5	0.5	muse
0	DHX15	0.5	muse
0	FCRL6	0.5	muse
0	FOXI1	0.5	muse
0	GPR137	0.5	muse
0	IFNA10	0.5	muse
0	IGHV3-13	0.5	muse
0	IGLV2-23	0.5	muse
0	KHDC1L	0.5	muse
0	KIF11	0.5	muse
0	LHFPL5	0.5	muse
0	MCHR1	0.5	muse
0	MSTN	0.5	muse
0	MTMR9	0.5	muse
0	NCAPH	0.5	muse
0	NIN	0.5	muse
0	NRP2	0.5	muse
0	NUBPL	0.5	muse
0	PALM	0.5	muse
0	SIK3	0.5	muse
0	SLC25A32	0.5	muse
0	STXBP4	0.5	muse
0	TAMM41	0.5	muse
0	TRAV26-1	0.5	muse
0	ZNF683	0.5	muse
0	ACOT9	0.5	muse
0	ACSL6	0.5	muse
0	ADGRG3	0.5	muse
