X1	gene	pvalue	pipeline
0	ADCY2	0.5	muse
0	APCS	0.5	muse
0	CDKN2AIPNL	0.5	muse
0	CNOT2	0.5	muse
0	CYP11A1	0.5	muse
0	DHX32	0.5	muse
0	KRTAP4-2	0.5	muse
0	MAP3K4	0.5	muse
0	MASP1	0.5	muse
0	MRPS18B	0.5	muse
0	NLRP3	0.5	muse
0	SRSF11	0.5	muse
0	UNC5D	0.5	muse
0	ZNF385B	0.5	muse
0	ZNHIT1	0.5	muse
0	CMTR2	0.5	muse
0	CPA6	0.5	muse
0	CYB5RL	0.5	muse
0	DNAI1	0.5	muse
0	FAM214A	0.23975006109347674	muse
0	GNAI2	0.5	muse
0	HSPA14	0.5	muse
0	IGKV2D-24	0.5	muse
0	ITFG1	0.5	muse
0	MVB12A	0.5	muse
0	NFE2L1	0.5	muse
0	PPP1R26	0.5	muse
0	PRAMEF6	0.5	muse
0	PRPH2	0.5	muse
0	PRRT1	0.5	muse
0	PTPRC	0.23975006109347674	muse
0	SHKBP1	0.5	muse
0	STK32B	0.5	muse
0	TMIGD1	0.5	muse
0	TRPA1	0.5	muse
0	ADAM20	0.5	muse
0	ARHGAP35	0.12410653949496181	muse
0	ATP6V0A2	0.5	muse
0	BCL9	0.5	muse
0	C11orf58	0.5	muse
0	C6	0.5	muse
0	CHRNA4	0.23975006109347674	muse
0	CNTNAP5	0.5	muse
0	CSRNP2	0.5	muse
0	DNMT3B	0.5	muse
0	EIF5AL1	0.5	muse
0	HTATIP2	0.5	muse
0	KLHL13	0.5	muse
0	LRRK2	0.5	muse
0	MAP3K1	0.5	muse
0	MAP3K11	0.5	muse
0	NEURL4	0.5	muse
0	NUDT21	0.23975006109347674	muse
0	PDZRN4	0.5	muse
0	POTEF	0.5	muse
0	RARG	0.5	muse
0	RBM22	0.5	muse
0	RPA1	0.5	muse
0	SEPHS2	0.5	muse
0	THOP1	0.5	muse
0	TUBA1C	0.5	muse
0	WDR60	0.5	muse
0	ZDHHC16	0.5	muse
0	ZNF692	0.5	muse
0	BVES	0.5	muse
0	CCDC36	0.5	muse
0	FAM172A	0.5	muse
0	FRG2	0.5	muse
0	IFITM1	0.5	muse
0	LAGE3	0.5	muse
0	LAMC2	0.5	muse
0	MCEMP1	0.5	muse
0	NUTM2F	0.5	muse
0	OR11H1	0.5	muse
0	OSBPL3	0.5	muse
0	PLIN3	0.5	muse
0	RASGRP3	0.5	muse
0	RPL7A	0.5	muse
0	TGOLN2	0.5	muse
0	WDR41	0.5	muse
0	ACTR5	0.5	muse
0	ADAMTS8	0.23975006109347674	muse
0	ATP13A2	0.5	muse
0	BPTF	0.23975006109347674	muse
0	BRIP1	0.23975006109347674	muse
0	CRAMP1L	0.23975006109347674	muse
0	FAM166A	0.5	muse
0	GEMIN6	0.5	muse
0	HK2	0.5	muse
0	HTR2B	0.5	muse
0	IGHA1	0.5	muse
0	LECT1	0.5	muse
0	PACS2	0.5	muse
