	gene	pvalue
0	UBBP4	0.5
0	VSNL1	0.5
0	ZDHHC6	0.5
0	ZMYM1	0.23975006109347674
0	AP3D1	0.5
0	ASAH2	0.12410653949496181
0	C14orf28	0.5
0	CCDC126	0.27014568730370997
0	COL28A1	0.23975006109347674
0	CREBBP	0.23975006109347674
0	DDX42	0.12410653949496181
0	DGKQ	0.5
0	DNAJC10	0.12410653949496181
0	DUSP16	0.5
0	FAR2	0.5
0	GABRA3	0.5
0	GRIN2A	0.12410653949496181
0	HAP1	0.5
0	KCNJ9	0.5
0	LAMB3	0.23975006109347674
0	LAS1L	0.5
0	MDC1	0.5
0	MIB2	0.5
0	MMP12	0.23975006109347674
0	MTL5	0.5
0	MYCBPAP	0.5
0	NSMF	0.5
0	OR13F1	0.5
0	OR4C11	0.23975006109347674
0	OR5AS1	0.5
0	PRPF19	0.23975006109347674
0	RETNLB	0.5
0	RPLP0	0.23975006109347674
0	SERPINI2	0.5
0	SIRPB2	0.23975006109347674
0	SLC30A9	0.5
0	SLC36A3	0.5
0	SULT1C4	0.5
0	SYF2	0.12410653949496181
0	TIAM1	0.5
0	TOX2	0.5
0	WAPAL	0.5
0	XXbac-BPG32J3.20	0.5
0	ZNF562	0.23975006109347674
0	ABCA10	0.5
0	AGAP3	0.23975006109347674
0	ALG10B	0.23975006109347674
0	AMPD2	0.5
0	ANGPTL5	0.5
0	C1orf109	0.5
0	C1orf226	0.5
0	C4orf29	0.12410653949496181
0	CASP8AP2	0.12410653949496181
0	CEBPZ	0.5
0	CELSR3	0.23975006109347674
0	CENPE	0.23975006109347674
0	CUL5	0.23975006109347674
0	DHH	0.5
0	EBF1	0.5
0	EIF5B	0.5
0	ESD	0.23975006109347674
0	FBXL20	0.5
0	GGN	0.23975006109347674
0	GGPS1	0.5
0	GNB3	0.5
0	GUCA1A	0.5
0	HNF4A	0.5
0	IGKV1D-13	0.5
0	ITGAM	0.5
0	KCNS2	0.5
0	MINK1	0.12410653949496181
0	NBEAL1	0.23975006109347674
0	NCKAP1L	0.5
0	NDST1	0.5
0	NEK2	0.5
0	NELFE	0.23975006109347674
0	NFKBID	0.5
0	OSBPL9	0.23975006109347674
0	PCDHA1	0.5
0	PGLS	0.5
0	POLA2	0.5
0	R3HDM2	0.5
0	RAB27B	0.23975006109347674
0	RBM26	0.23975006109347674
0	RFX7	0.12410653949496181
0	SEC14L4	0.5
0	SLC44A2	0.5
0	SLC46A2	0.5
0	TAF7L	0.5
0	TANK	0.23975006109347674
0	U2SURP	0.5
0	ULK2	0.5
0	ZNF142	0.5
0	ABCB1	0.5
0	ADNP2	0.5
0	ARHGEF2	0.5
0	ARHGEF37	0.5
0	ASAP2	0.23975006109347674
0	ATG16L2	0.5
0	ATXN1L	0.5
0	AXDND1	0.5
0	BRAF	0.5
0	C10orf2	0.5
0	C9orf153	0.5
0	CAPS	0.5
0	CAPZA2	0.23975006109347674
0	COA4	0.5
0	DHRS7	0.5
0	DOPEY1	0.12410653949496181
