	gene	pvalue
0	ANGPTL1	0.5
0	B4GAT1	0.5
0	C14orf39	0.23975006109347674
0	C1orf162	0.5
0	C1orf189	0.5
0	CCDC130	0.5
0	CCDC185	0.23975006109347674
0	CCDC3	0.23975006109347674
0	CCT8L2	0.23975006109347674
0	CDC16	0.23975006109347674
0	CYLD	0.5
0	DOCK8	0.1178399567145188
0	DOPEY1	0.2071080891212626
0	DYRK1A	0.27014568730370997
0	FAM96B	0.5
0	HIAT1	0.23975006109347674
0	KIAA0195	0.12410653949496181
0	KMT2E	0.12410653949496181
0	LMTK2	0.020613416668581838
0	P3H2	0.5
0	PIK3R1	0.23975006109347674
0	PPP2R5B	0.5
0	QRSL1	0.5
0	RAPGEF4	0.23975006109347674
0	SDHB	0.5
0	SEMG2	0.5
0	SLC45A3	0.23975006109347674
0	SOAT2	0.27014568730370997
0	SORCS1	0.5
0	SPEN	0.4461475590424884
0	STOML3	0.5
0	TATDN3	0.5
0	TOX2	0.23975006109347674
0	ADGRA3	0.23975006109347674
0	ASTN1	0.5
0	BDH1	0.5
0	C10orf35	0.5
0	C2orf47	0.5
0	CYP1A1	0.5
0	DNAJA4	0.23975006109347674
0	EPHB4	0.03681913506015133
0	ERCC2	0.5
0	FRZB	0.23975006109347674
0	GALNT18	0.5
0	IFIT1	0.23975006109347674
0	KRT82	0.23975006109347674
0	LELP1	0.5
0	LRRC61	0.5
0	MITF	0.5
0	MUC16	0.08460096082960084
0	MYO1A	0.5
0	OR2J3	0.5
0	PADI6	0.12410653949496181
0	PDC	0.5
0	PDS5B	0.03681913506015133
0	PI4K2B	0.5
0	PPWD1	0.5
0	RPL12	0.5
0	SERPING1	0.23975006109347674
0	SLC20A2	0.5
0	SYDE2	0.5
0	ZBTB1	0.23975006109347674
0	ZDHHC18	0.5
0	ZNF182	0.5
0	ZNF445	0.23975006109347674
0	ZNF543	0.12410653949496181
0	ABCD1	0.5
0	ACLY	0.23975006109347674
0	B3GAT2	0.23975006109347674
0	CLSTN3	0.1178399567145188
0	CTSB	0.06680720126885807
0	DQX1	0.5
0	GRIN2B	0.14442218317324246
0	KCNK18	0.23975006109347674
0	KCNRG	0.5
0	LPCAT3	0.12410653949496181
0	OR10G2	0.5
0	OR4C13	0.5
0	PRCC	0.23975006109347674
0	PROKR1	0.5
0	PTPN12	0.23975006109347674
0	RNF151	0.5
0	SPAG9	0.23975006109347674
0	TOB2	0.12410653949496181
0	WIZ	0.5
0	ZNF836	0.5
0	AADACL3	0.23975006109347674
0	ABCA2	0.5
0	ADCYAP1R1	0.5
0	AICDA	0.5
0	ANGPTL7	0.23975006109347674
0	ANKRD44	0.5
0	ATPAF2	0.23975006109347674
0	B9D1	0.5
0	CASP10	0.23975006109347674
0	CEP83	0.12410653949496181
0	CPLX2	0.23975006109347674
0	EHD3	0.23975006109347674
0	ENHO	0.5
0	ENO1	0.5
0	FTSJ2	0.5
0	GALNT3	0.5
0	GLCCI1	0.5
0	GOLIM4	0.5
0	HSPA12A	0.23975006109347674
0	HTT	0.03681913506015133
0	LRRC32	0.5
0	MAP2K7	0.5
0	MAP4	0.23975006109347674
0	MAVS	0.5
0	MFSD6	0.5
0	MSC	0.5
0	NCOA1	0.5
0	OR10S1	0.23975006109347674
0	OR2T12	0.5
0	OR2T27	0.5
0	OTOF	0.03681913506015133
0	PHF12	0.12410653949496181
0	PLTP	0.23975006109347674
0	POLK	0.23975006109347674
0	RNH1	0.5
0	RSRP1	0.5
0	SALL3	0.23975006109347674
0	SCNN1A	0.23975006109347674
0	SMC3	0.25249253754692297
0	SOHLH1	0.5
0	SPEF2	0.23975006109347674
0	TRPC7	0.23975006109347674
0	UBA7	0.5
0	UTRN	0.1508497912391739
0	VPS11	0.5
0	WDTC1	0.23975006109347674
0	WIPI2	0.5
0	ZNF451	0.12410653949496181
0	B4GALNT4	0.12410653949496181
0	COL5A3	0.06680720126885807
0	CTPS1	0.5
0	DNAJB12	0.5
0	GPR158	0.23975006109347674
0	GRHL1	0.23975006109347674
0	ITPR2	0.36183680491588155
0	LDLR	0.5
0	NEURL3	0.5
0	NUP153	0.23975006109347674
0	OR8G1	0.5
0	PCF11	0.03681913506015133
0	PPM1B	0.12410653949496181
0	RBM43	0.23975006109347674
0	RHOBTB1	0.23975006109347674
0	SHROOM2	0.5
0	SLIT2	0.020613416668581838
0	STXBP4	0.5
0	STYK1	0.23975006109347674
0	TAF3	0.5
0	TM2D3	0.5
0	TRIM3	0.5
0	UXS1	0.5
0	WDR66	0.23975006109347674
0	WDR83	0.5
0	ZNF600	0.23975006109347674
0	ABI2	0.23975006109347674
0	ACTL7A	0.5
0	AKAP13	0.12410653949496181
0	ARRDC4	0.5
0	ASIC5	0.5
0	C1orf94	0.23975006109347674
0	C2orf44	0.23975006109347674
0	CASR	0.23975006109347674
0	CCDC90B	0.23975006109347674
0	CDC25C	0.12410653949496181
0	CRISP1	0.5
0	CUL1	0.5
0	DSEL	0.5
0	GJA9	0.5
0	INSRR	0.12410653949496181
0	MANSC1	0.06680720126885807
0	MKRN1	0.5
0	OR5D18	0.5
0	PARP14	0.25249253754692297
0	PATE2	0.5
0	PDE5A	0.5
0	PGBD5	0.5
0	PSG11	0.5
0	PSMB5	0.5
0	RAET1E	0.5
0	RANBP3L	0.5
0	RSL1D1	0.23975006109347674
0	SLC33A1	0.23975006109347674
0	SMCO2	0.23975006109347674
0	SNTG2	0.5
0	TRAM1	0.5
0	TRIO	0.5
0	UBE2J2	0.5
0	VSNL1	0.27014568730370997
0	ZDHHC6	0.5
0	ZNF570	0.23975006109347674
0	ADCY10	0.23975006109347674
0	ADGRL4	0.23975006109347674
0	C14orf28	0.5
0	CCDC126	0.27014568730370997
0	COL28A1	0.23975006109347674
0	CREBBP	0.23975006109347674
0	DENND2C	0.12410653949496181
0	DGKQ	0.23975006109347674
0	DUSP16	0.23975006109347674
0	GABRA3	0.5
0	GZMM	0.5
0	HAP1	0.23975006109347674
0	KCNJ9	0.5
0	LAMB3	0.23975006109347674
0	LAS1L	0.5
0	MDC1	0.23975006109347674
0	MFSD12	0.5
0	MIB2	0.5
0	MMP12	0.12410653949496181
0	MTL5	0.5
0	MYCBPAP	0.5
0	NSMF	0.5
0	OR13F1	0.5
0	OR4C11	0.23975006109347674
0	OR5AS1	0.5
0	PRPF19	0.12410653949496181
0	RETNLB	0.5
0	SERPINI2	0.23975006109347674
0	SIRPB2	0.5
0	SLC30A9	0.12410653949496181
0	SLC36A3	0.5
0	SULT1C4	0.5
0	SYF2	0.23975006109347674
0	TIAM1	0.34154569915480437
0	TMEM71	0.23975006109347674
0	WAPAL	0.34154569915480437
0	XXbac-BPG32J3.20	0.5
0	ZC3H10	0.5
0	ZNF26	0.23975006109347674
0	ZNF562	0.23975006109347674
0	ZZEF1	0.14442218317324246
0	AGAP3	0.12410653949496181
0	ALG10B	0.23975006109347674
0	AMPD2	0.5
0	ANGPTL5	0.5
0	APOL6	0.23975006109347674
0	ATM	0.30853753872598694
0	C1orf109	0.5
0	C1orf226	0.5
0	C4orf29	0.12410653949496181
0	CELSR3	0.12410653949496181
0	DHH	0.5
0	EBF1	0.5
0	EIF5B	0.5
0	ESD	0.23975006109347674
0	FBRSL1	0.5
0	FBXL20	0.5
0	GGN	0.12410653949496181
0	GGPS1	0.5
0	GNB3	0.5
